cross_section,longitudinal,depth,Temperature,Unit
40,10,9.6,23.8,T4TTemp C
45,10,9.6,23.7,T4TTemp C
0,15,9.6,23.7,T4TTemp C
5,15,9.6,23.7,T4TTemp C
10,15,9.6,23.8,T4TTemp C
15,15,9.6,24,T4TTemp C
20,15,9.6,23.9,T4TTemp C
25,15,9.6,23.8,T4TTemp C
30,15,9.6,23.4,T4TTemp C
35,15,9.6,23.8,T4TTemp C
40,15,9.6,23.7,T4TTemp C
45,15,9.6,23.7,T4TTemp C
0,20,9.6,23.6,T4TTemp C
5,20,9.6,23.8,T4TTemp C
10,20,9.6,23.9,T4TTemp C
15,20,9.6,23.5,estimate
20,20,9.6,24.2,T4TTemp C
25,20,9.6,24,T4TTemp C
30,20,9.6,22.8,T4TTemp C
35,20,9.6,24,T4TTemp C
40,20,9.6,23.9,T4TTemp C
45,20,9.6,23.8,T4TTemp C
0,25,9.6,24.1,T4TTemp C
5,25,9.6,24.1,T4TTemp C
10,25,9.6,24.2,T4TTemp C
15,25,9.6,24.4,T4TTemp C
20,25,9.6,24.3,T4TTemp C
25,25,9.6,24,T4TTemp C
30,25,9.6,24.3,T4TTemp C
35,25,9.6,24.4,T4TTemp C
40,25,9.6,24.3,T4TTemp C
45,25,9.6,24.4,T4TTemp C
0,30,9.6,24.3,T4TTemp C
5,30,9.6,24.6,T4TTemp C
10,30,9.6,24.6,T4TTemp C
15,30,9.6,24.4,T4TTemp C
20,30,9.6,23.5,T4TTemp C
25,30,9.6,24.4,T4TTemp C
30,30,9.6,24.4,T4TTemp C
35,30,9.6,24.4,T4TTemp C
40,30,9.6,24.5,T4TTemp C
45,30,9.6,24.4,T4TTemp C
0,35,9.6,24.5,T4TTemp C
5,35,9.6,24.5,T4TTemp C
10,35,9.6,24.5,T4TTemp C
15,35,9.6,24.3,T4TTemp C
20,35,9.6,24.3,T4TTemp C
25,35,9.6,24.3,T4TTemp C
30,35,9.6,24.3,T4TTemp C
35,35,9.6,24.4,T4TTemp C
40,35,9.6,24.5,T4TTemp C
45,35,9.6,24.5,T4TTemp C
0,40,9.6,24.4,T4TTemp C
5,40,9.6,24.5,T4TTemp C
10,40,9.6,24.4,T4TTemp C
15,40,9.6,24.4,T4TTemp C
20,40,9.6,24.4,T4TTemp C
25,40,9.6,24.5,T4TTemp C
30,40,9.6,24.4,T4TTemp C
35,40,9.6,24.3,T4TTemp C
40,40,9.6,24.4,T4TTemp C
45,40,9.6,24.4,T4TTemp C
0,45,9.6,24.5,T4TTemp C
5,45,9.6,24.5,T4TTemp C
10,45,9.6,24.3,T4TTemp C
15,45,9.6,24.4,T4TTemp C
20,45,9.6,24.4,T4TTemp C
25,45,9.6,24.4,T4TTemp C
30,45,9.6,24.4,T4TTemp C
35,45,9.6,24.5,T4TTemp C
40,45,9.6,24.5,T4TTemp C
45,45,9.6,24.4,T4TTemp C
0,-10,12.8,24.9,T5TTemp C
5,-10,12.8,24.9,T5TTemp C
10,-10,12.8,24.7,T5TTemp C
15,-10,12.8,24.7,T5TTemp C
20,-10,12.8,24.5,T5TTemp C
25,-10,12.8,24.6,T5TTemp C
30,-10,12.8,24.4,T5TTemp C
35,-10,12.8,24.3,T5TTemp C
40,-10,12.8,24.6,T5TTemp C
45,-10,12.8,24.5,T5TTemp C
0,-5,12.8,24.6,T5TTemp C
5,-5,12.8,24.3,T5TTemp C
10,-5,12.8,24.4,T5TTemp C
15,-5,12.8,24.3,T5TTemp C
20,-5,12.8,24,T5TTemp C
25,-5,12.8,24,T5TTemp C
30,-5,12.8,24.2,T5TTemp C
35,-5,12.8,24.4,T5TTemp C
40,-5,12.8,24.4,T5TTemp C
45,-5,12.8,24.5,T5TTemp C
0,0,12.8,24.5,T5TTemp C
5,0,12.8,24.3,T5TTemp C
10,0,12.8,24.2,T5TTemp C
15,0,12.8,24.3,T5TTemp C
20,0,12.8,24.1,T5TTemp C
25,0,12.8,24,T5TTemp C
30,0,12.8,24.2,T5TTemp C
35,0,12.8,24.3,T5TTemp C
40,0,12.8,24.2,T5TTemp C
45,0,12.8,24.1,T5TTemp C
0,5,12.8,24.1,T5TTemp C
5,5,12.8,24.2,T5TTemp C
10,5,12.8,24.1,T5TTemp C
15,5,12.8,23.9,T5TTemp C
20,5,12.8,24.3,T5TTemp C
25,5,12.8,24.2,T5TTemp C
30,5,12.8,24.1,T5TTemp C
35,5,12.8,24,T5TTemp C
40,5,12.8,23.9,T5TTemp C
45,5,12.8,24.2,T5TTemp C
0,10,12.8,24.2,T5TTemp C
5,10,12.8,24.2,T5TTemp C
10,10,12.8,24.3,T5TTemp C
15,10,12.8,24.3,T5TTemp C
20,10,12.8,24.1,T5TTemp C
25,10,12.8,24.4,T5TTemp C
30,10,12.8,24.3,T5TTemp C
35,10,12.8,24.4,T5TTemp C
40,10,12.8,24.4,T5TTemp C
45,10,12.8,24.3,T5TTemp C
0,15,12.8,24.3,T5TTemp C
5,15,12.8,24.3,T5TTemp C
10,15,12.8,24.3,T5TTemp C
15,15,12.8,24.6,T5TTemp C
20,15,12.8,24.4,T5TTemp C
25,15,12.8,24.3,T5TTemp C
30,15,12.8,24.1,T5TTemp C
35,15,12.8,24.2,T5TTemp C
40,15,12.8,24.2,T5TTemp C
45,15,12.8,24.3,T5TTemp C
0,20,12.8,24.2,T5TTemp C
5,20,12.8,24.4,T5TTemp C
10,20,12.8,24.3,T5TTemp C
15,20,12.8,23.5,estimate
20,20,12.8,24.6,T5TTemp C
25,20,12.8,24.5,T5TTemp C
30,20,12.8,24.2,T5TTemp C
35,20,12.8,24.5,T5TTemp C
40,20,12.8,24.4,T5TTemp C
45,20,12.8,24.4,T5TTemp C
0,25,12.8,24.7,T5TTemp C
5,25,12.8,24.7,T5TTemp C
10,25,12.8,24.8,T5TTemp C
15,25,12.8,24.9,T5TTemp C
20,25,12.8,25,T5TTemp C
25,25,12.8,24.8,T5TTemp C
30,25,12.8,24.9,T5TTemp C
35,25,12.8,24.9,T5TTemp C
40,25,12.8,25,T5TTemp C
45,25,12.8,24.9,T5TTemp C
0,30,12.8,25,T5TTemp C
5,30,12.8,25,T5TTemp C
10,30,12.8,25.1,T5TTemp C
15,30,12.8,24.9,T5TTemp C
20,30,12.8,24.9,T5TTemp C
25,30,12.8,25,T5TTemp C
30,30,12.8,24.9,T5TTemp C
35,30,12.8,24.8,T5TTemp C
40,30,12.8,25,T5TTemp C
45,30,12.8,24.9,T5TTemp C
0,35,12.8,24.9,T5TTemp C
5,35,12.8,24.8,T5TTemp C
10,35,12.8,24.9,T5TTemp C
15,35,12.8,24.8,T5TTemp C
20,35,12.8,24.7,T5TTemp C
25,35,12.8,24.7,T5TTemp C
30,35,12.8,24.7,T5TTemp C
35,35,12.8,24.7,T5TTemp C
40,35,12.8,24.8,T5TTemp C
45,35,12.8,24.8,T5TTemp C
0,40,12.8,24.8,T5TTemp C
5,40,12.8,24.7,T5TTemp C
10,40,12.8,24.7,T5TTemp C
15,40,12.8,24.6,T5TTemp C
20,40,12.8,24.7,T5TTemp C
25,40,12.8,24.7,T5TTemp C
30,40,12.8,24.6,T5TTemp C
35,40,12.8,24.5,T5TTemp C
40,40,12.8,24.5,T5TTemp C
45,40,12.8,24.6,T5TTemp C
0,45,12.8,24.6,T5TTemp C
5,45,12.8,24.6,T5TTemp C
10,45,12.8,24.4,T5TTemp C
15,45,12.8,24.5,T5TTemp C
20,45,12.8,24.5,T5TTemp C
25,45,12.8,24.5,T5TTemp C
30,45,12.8,24.4,T5TTemp C
35,45,12.8,24.5,T5TTemp C
40,45,12.8,24.5,T5TTemp C
45,45,12.8,24.4,T5TTemp C
0,-10,16,25.3,T6TTemp C
