Date,Time,y,x,z,Temperature,Unit
2/17/25,11:22:47,40,0,24,25.1,T9TTemp C
2/17/25,11:23:17,45,0,24,25.1,T9TTemp C
2/17/25,11:23:47,50,0,24,25.1,T9TTemp C
2/17/25,11:24:47,58,0,24,25.1,T9TTemp C
2/17/25,11:18:47,0,0,27,25.6,T10TTemp C
2/17/25,11:19:17,5,0,27,25.5,T10TTemp C
2/17/25,11:19:47,10,0,27,25.4,T10TTemp C
2/17/25,11:20:17,15,0,27,25.4,T10TTemp C
2/17/25,11:20:47,20,0,27,25.2,T10TTemp C
2/17/25,11:21:17,25,0,27,25.1,T10TTemp C
2/17/25,11:21:47,30,0,27,25.1,T10TTemp C
2/17/25,11:22:17,35,0,27,25,T10TTemp C
2/17/25,11:22:47,40,0,27,25,T10TTemp C
2/17/25,11:23:17,45,0,27,25,T10TTemp C
2/17/25,11:23:47,50,0,27,25,T10TTemp C
2/17/25,11:24:47,58,0,27,25,T10TTemp C
