cross_section,longitudinal,depth,Temperature,Unit,
58,195,6.4,24.1,T3TTemp C,
0,200,6.4,24.4,T3TTemp C,
5,200,6.4,24.4,T3TTemp C,
10,200,6.4,24.2,T3TTemp C,
15,200,6.4,24.1,T3TTemp C,
20,200,6.4,24,T3TTemp C,
25,200,6.4,23.9,T3TTemp C,
30,200,6.4,23.9,T3TTemp C,
35,200,6.4,24,T3TTemp C,
40,200,6.4,24.1,T3TTemp C,
45,200,6.4,24.2,T3TTemp C,
50,200,6.4,24.3,T3TTemp C,
55,200,6.4,24.4,T3TTemp C,
58,200,6.4,24.3,T3TTemp C,
0,205,6.4,24.6,T3TTemp C,
5,205,6.4,24.6,T3TTemp C,
10,205,6.4,24.5,T3TTemp C,
15,205,6.4,24.4,T3TTemp C,
20,205,6.4,24.2,T3TTemp C,
25,205,6.4,24.1,T3TTemp C,
30,205,6.4,24.2,T3TTemp C,
35,205,6.4,24.2,T3TTemp C,
40,205,6.4,24.3,T3TTemp C,
45,205,6.4,24.4,T3TTemp C,
50,205,6.4,24.4,T3TTemp C,
55,205,6.4,24.4,T3TTemp C,
58,205,6.4,24.4,T3TTemp C,
0,210,6.4,24.8,T3TTemp C,
5,210,6.4,24.7,T3TTemp C,
10,210,6.4,24.6,T3TTemp C,
15,210,6.4,24.6,T3TTemp C,
20,210,6.4,24.4,T3TTemp C,
25,210,6.4,24.4,T3TTemp C,
30,210,6.4,24.4,T3TTemp C,
35,210,6.4,24.3,T3TTemp C,
40,210,6.4,24.3,T3TTemp C,
45,210,6.4,24.4,T3TTemp C,
50,210,6.4,24.3,T3TTemp C,
55,210,6.4,24.3,T3TTemp C,
58,210,6.4,24.3,T3TTemp C,
0,175,9.6,25.3,T4TTemp C,
5,175,9.6,25.3,T4TTemp C,
10,175,9.6,25.3,T4TTemp C,
15,175,9.6,25.3,T4TTemp C,
20,175,9.6,25.3,T4TTemp C,
25,175,9.6,25.2,T4TTemp C,
30,175,9.6,25.1,T4TTemp C,
35,175,9.6,25,T4TTemp C,
40,175,9.6,25,T4TTemp C,
45,175,9.6,24.9,T4TTemp C,
50,175,9.6,24.8,T4TTemp C,
55,175,9.6,24.9,T4TTemp C,
58,175,9.6,24.9,T4TTemp C,
0,180,9.6,25.2,T4TTemp C,
5,180,9.6,25.2,T4TTemp C,
10,180,9.6,25.1,T4TTemp C,
15,180,9.6,25.1,T4TTemp C,
20,180,9.6,25.1,T4TTemp C,
25,180,9.6,25,T4TTemp C,
30,180,9.6,25.1,T4TTemp C,
35,180,9.6,25.1,T4TTemp C,
40,180,9.6,25.2,T4TTemp C,
45,180,9.6,25,T4TTemp C,
50,180,9.6,25,T4TTemp C,
55,180,9.6,24.9,T4TTemp C,
58,180,9.6,24.8,T4TTemp C,
0,185,9.6,25.1,T4TTemp C,
5,185,9.6,25.1,T4TTemp C,
10,185,9.6,25,T4TTemp C,
15,185,9.6,24.8,T4TTemp C,
20,185,9.6,24.8,T4TTemp C,
25,185,9.6,24.6,T4TTemp C,
30,185,9.6,24.8,T4TTemp C,
35,185,9.6,24.8,T4TTemp C,
40,185,9.6,24.8,T4TTemp C,
45,185,9.6,24.8,T4TTemp C,
50,185,9.6,24.7,T4TTemp C,
55,185,9.6,24.7,T4TTemp C,
58,185,9.6,24.9,T4TTemp C,
0,190,9.6,24.9,T4TTemp C,
5,190,9.6,24.8,T4TTemp C,
10,190,9.6,24.6,T4TTemp C,
15,190,9.6,24.6,T4TTemp C,
20,190,9.6,24.5,T4TTemp C,
25,190,9.6,24.6,T4TTemp C,
30,190,9.6,24.6,T4TTemp C,
35,190,9.6,24.6,T4TTemp C,
40,190,9.6,24.6,T4TTemp C,
45,190,9.6,24.5,T4TTemp C,
50,190,9.6,24.5,T4TTemp C,
55,190,9.6,24.4,T4TTemp C,
58,190,9.6,24.7,T4TTemp C,
0,195,9.6,24.7,T4TTemp C,
5,195,9.6,24.8,T4TTemp C,
10,195,9.6,24.7,T4TTemp C,
15,195,9.6,24.6,T4TTemp C,
20,195,9.6,24.5,T4TTemp C,
25,195,9.6,24.6,T4TTemp C,
30,195,9.6,24.4,T4TTemp C,
35,195,9.6,24.5,T4TTemp C,
40,195,9.6,24.6,T4TTemp C,
45,195,9.6,24.7,T4TTemp C,
50,195,9.6,24.7,T4TTemp C,
55,195,9.6,24.7,T4TTemp C,
58,195,9.6,24.7,T4TTemp C,
0,200,9.6,24.9,T4TTemp C,
5,200,9.6,25,T4TTemp C,
10,200,9.6,25,T4TTemp C,
15,200,9.6,24.8,T4TTemp C,
20,200,9.6,24.9,T4TTemp C,
25,200,9.6,24.8,T4TTemp C,
30,200,9.6,24.7,T4TTemp C,
35,200,9.6,24.9,T4TTemp C,
40,200,9.6,24.9,T4TTemp C,
45,200,9.6,24.9,T4TTemp C,
50,200,9.6,25,T4TTemp C,
55,200,9.6,25,T4TTemp C,
58,200,9.6,24.9,T4TTemp C,
0,205,9.6,25.1,T4TTemp C,
5,205,9.6,25.2,T4TTemp C,
10,205,9.6,25.2,T4TTemp C,
15,205,9.6,25.1,T4TTemp C,
20,205,9.6,25,T4TTemp C,
25,205,9.6,24.8,T4TTemp C,
30,205,9.6,25,T4TTemp C,
35,205,9.6,25.1,T4TTemp C,
40,205,9.6,25,T4TTemp C,
45,205,9.6,25.1,T4TTemp C,
50,205,9.6,25,T4TTemp C,
55,205,9.6,25,T4TTemp C,
58,205,9.6,25,T4TTemp C,
0,210,9.6,25.3,T4TTemp C,
5,210,9.6,25.3,T4TTemp C,
10,210,9.6,25.2,T4TTemp C,
15,210,9.6,25.3,T4TTemp C,
20,210,9.6,25.1,T4TTemp C,
25,210,9.6,25.1,T4TTemp C,
30,210,9.6,25.1,T4TTemp C,
35,210,9.6,25,T4TTemp C,
40,210,9.6,25,T4TTemp C,
45,210,9.6,25,T4TTemp C,
50,210,9.6,25,T4TTemp C,
55,210,9.6,24.9,T4TTemp C,
58,210,9.6,24.9,T4TTemp C,
0,175,12.8,25.1,T5TTemp C,
5,175,12.8,25.1,T5TTemp C,
10,175,12.8,25.1,T5TTemp C,
15,175,12.8,25.1,T5TTemp C,
20,175,12.8,25,T5TTemp C,
25,175,12.8,25,T5TTemp C,
30,175,12.8,24.9,T5TTemp C,
35,175,12.8,24.8,T5TTemp C,
40,175,12.8,24.8,T5TTemp C,
45,175,12.8,24.7,T5TTemp C,
50,175,12.8,24.7,T5TTemp C,
55,175,12.8,24.7,T5TTemp C,
58,175,12.8,24.7,T5TTemp C,
0,180,12.8,25,T5TTemp C,
5,180,12.8,25,T5TTemp C,
10,180,12.8,25.1,T5TTemp C,
15,180,12.8,25,T5TTemp C,
20,180,12.8,25.1,T5TTemp C,
25,180,12.8,25.1,T5TTemp C,
30,180,12.8,25.1,T5TTemp C,
35,180,12.8,25.1,T5TTemp C,
40,180,12.8,25.1,T5TTemp C,
45,180,12.8,24.9,T5TTemp C,
50,180,12.8,25,T5TTemp C,
55,180,12.8,24.9,T5TTemp C,
58,180,12.8,24.7,T5TTemp C,
0,185,12.8,25,T5TTemp C,
5,185,12.8,25,T5TTemp C,
10,185,12.8,25,T5TTemp C,
15,185,12.8,25,T5TTemp C,
20,185,12.8,25,T5TTemp C,
25,185,12.8,24.7,T5TTemp C,
30,185,12.8,24.8,T5TTemp C,
35,185,12.8,24.7,T5TTemp C,
40,185,12.8,24.7,T5TTemp C,
45,185,12.8,24.7,T5TTemp C,
50,185,12.8,24.6,T5TTemp C,
55,185,12.8,24.5,T5TTemp C,
58,185,12.8,24.7,T5TTemp C,
0,190,12.8,24.7,T5TTemp C,
5,190,12.8,24.6,T5TTemp C,
10,190,12.8,24.5,T5TTemp C,
15,190,12.8,24.5,T5TTemp C,
20,190,12.8,24.5,T5TTemp C,
25,190,12.8,24.4,T5TTemp C,
30,190,12.8,24.4,T5TTemp C,
35,190,12.8,24.4,T5TTemp C,
40,190,12.8,24.4,T5TTemp C,
45,190,12.8,24.3,T5TTemp C,
50,190,12.8,24.2,T5TTemp C,
55,190,12.8,24,T5TTemp C,
58,190,12.8,24.4,T5TTemp C,
0,195,12.8,24.4,T5TTemp C,
5,195,12.8,24.5,T5TTemp C,
10,195,12.8,24.4,T5TTemp C,
15,195,12.8,24.4,T5TTemp C,
20,195,12.8,24.3,T5TTemp C,
25,195,12.8,24.3,T5TTemp C,
30,195,12.8,24.3,T5TTemp C,
35,195,12.8,24.2,T5TTemp C,
40,195,12.8,24.3,T5TTemp C,
45,195,12.8,24.3,T5TTemp C,
50,195,12.8,24.3,T5TTemp C,
55,195,12.8,24.3,T5TTemp C,
58,195,12.8,24.3,T5TTemp C,
0,200,12.8,24.5,T5TTemp C,
5,200,12.8,24.6,T5TTemp C,
10,200,12.8,24.6,T5TTemp C,
15,200,12.8,24.5,T5TTemp C,
20,200,12.8,24.6,T5TTemp C,
25,200,12.8,24.5,T5TTemp C,
30,200,12.8,24.4,T5TTemp C,
35,200,12.8,24.6,T5TTemp C,
40,200,12.8,24.6,T5TTemp C,
45,200,12.8,24.6,T5TTemp C,
50,200,12.8,24.5,T5TTemp C,
55,200,12.8,24.6,T5TTemp C,
58,200,12.8,24.5,T5TTemp C,
0,205,12.8,24.5,T5TTemp C,
5,205,12.8,24.7,T5TTemp C,
10,205,12.8,24.7,T5TTemp C,
15,205,12.8,24.7,T5TTemp C,
20,205,12.8,24.6,T5TTemp C,
25,205,12.8,24.7,T5TTemp C,
30,205,12.8,24.6,T5TTemp C,
35,205,12.8,24.7,T5TTemp C,
40,205,12.8,24.7,T5TTemp C,
45,205,12.8,24.8,T5TTemp C,
50,205,12.8,24.6,T5TTemp C,
55,205,12.8,24.6,T5TTemp C,
58,205,12.8,24.6,T5TTemp C,
0,210,12.8,24.9,T5TTemp C,
5,210,12.8,24.9,T5TTemp C,
10,210,12.8,24.9,T5TTemp C,
15,210,12.8,24.9,T5TTemp C,
20,210,12.8,24.7,T5TTemp C,
25,210,12.8,24.8,T5TTemp C,
