Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit
2089,3/10/26,12:14:40,24.9,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.9,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.5,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2090,3/10/26,12:14:41,24.9,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.9,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.5,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2091,3/10/26,12:14:42,24.9,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.9,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.5,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2092,3/10/26,12:14:43,24.9,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.9,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.5,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2093,3/10/26,12:14:44,24.9,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.9,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.5,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2094,3/10/26,12:14:45,24.9,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.9,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.5,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2095,3/10/26,12:14:46,24.9,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.9,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.5,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2096,3/10/26,12:14:47,24.9,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.9,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.5,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2097,3/10/26,12:14:48,24.9,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.9,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.5,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2098,3/10/26,12:14:49,24.9,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.9,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.5,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2099,3/10/26,12:14:50,24.9,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.9,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.5,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2100,3/10/26,12:14:51,24.9,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.9,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.5,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2101,3/10/26,12:14:52,24.9,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.9,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.5,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2102,3/10/26,12:14:53,24.9,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.9,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.5,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2103,3/10/26,12:14:54,24.9,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.9,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.5,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2104,3/10/26,12:14:55,24.9,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.9,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.5,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2105,3/10/26,12:14:56,24.9,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.9,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.5,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2106,3/10/26,12:14:57,24.9,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.5,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2107,3/10/26,12:14:58,24.9,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.5,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2108,3/10/26,12:14:59,24.9,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.5,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2109,3/10/26,12:15:00,24.9,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.5,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2110,3/10/26,12:15:01,24.9,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.5,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2111,3/10/26,12:15:02,24.9,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.5,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2112,3/10/26,12:15:03,24.9,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.5,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2113,3/10/26,12:15:04,24.8,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.5,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2114,3/10/26,12:15:05,24.8,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.5,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2115,3/10/26,12:15:06,24.8,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.5,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2116,3/10/26,12:15:07,24.8,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.5,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2117,3/10/26,12:15:08,24.8,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.5,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2118,3/10/26,12:15:09,24.8,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.7,T8TTemp C,24.5,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit,Value,Unit
2119,3/10/26,12:15:40,24.8,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2120,3/10/26,12:15:41,24.8,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2121,3/10/26,12:15:42,24.8,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2122,3/10/26,12:15:43,24.8,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2123,3/10/26,12:15:44,24.8,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2124,3/10/26,12:15:45,24.8,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2125,3/10/26,12:15:46,24.8,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2126,3/10/26,12:15:47,24.8,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
2127,3/10/26,12:15:48,24.8,T1TTemp C,24.9,T2TTemp C,24.8,T3TTemp C,24.8,T4TTemp C,24.8,T5TTemp C,24.8,T6TTemp C,24.6,T7TTemp C,24.6,T8TTemp C,24.4,T9TTemp C,24.5,T10TTemp C,9999,T11TTemp C,9999,T12TTemp C
