"cross_section","longitudinal","depth","Place","Date","Time","Temperature","Unit"
20,0,12.8,NA,NA,NA,NA,NA
20,0,16,NA,NA,NA,NA,NA
20,0,19.2,NA,NA,NA,NA,NA
20,0,22.4,NA,NA,NA,NA,NA
20,0,25.6,NA,NA,NA,NA,NA
20,0,28.8,NA,NA,NA,NA,NA
25,0,0,NA,NA,NA,NA,NA
25,0,3.2,NA,NA,NA,NA,NA
25,0,6.4,NA,NA,NA,NA,NA
25,0,9.6,NA,NA,NA,NA,NA
25,0,12.8,NA,NA,NA,NA,NA
25,0,16,NA,NA,NA,NA,NA
25,0,19.2,NA,NA,NA,NA,NA
25,0,22.4,NA,NA,NA,NA,NA
25,0,25.6,NA,NA,NA,NA,NA
25,0,28.8,NA,NA,NA,NA,NA
30,0,0,NA,NA,NA,NA,NA
30,0,3.2,NA,NA,NA,NA,NA
30,0,6.4,NA,NA,NA,NA,NA
30,0,9.6,NA,NA,NA,NA,NA
30,0,12.8,NA,NA,NA,NA,NA
30,0,16,NA,NA,NA,NA,NA
30,0,19.2,NA,NA,NA,NA,NA
30,0,22.4,NA,NA,NA,NA,NA
30,0,25.6,NA,NA,NA,NA,NA
30,0,28.8,NA,NA,NA,NA,NA
35,0,0,NA,NA,NA,NA,NA
35,0,3.2,NA,NA,NA,NA,NA
35,0,6.4,NA,NA,NA,NA,NA
35,0,9.6,NA,NA,NA,NA,NA
35,0,12.8,NA,NA,NA,NA,NA
35,0,16,NA,NA,NA,NA,NA
35,0,19.2,NA,NA,NA,NA,NA
35,0,22.4,NA,NA,NA,NA,NA
35,0,25.6,NA,NA,NA,NA,NA
35,0,28.8,NA,NA,NA,NA,NA
40,0,0,NA,NA,NA,NA,NA
40,0,3.2,NA,NA,NA,NA,NA
40,0,6.4,NA,NA,NA,NA,NA
40,0,9.6,NA,NA,NA,NA,NA
40,0,12.8,NA,NA,NA,NA,NA
40,0,16,NA,NA,NA,NA,NA
40,0,19.2,NA,NA,NA,NA,NA
40,0,22.4,NA,NA,NA,NA,NA
40,0,25.6,NA,NA,NA,NA,NA
40,0,28.8,NA,NA,NA,NA,NA
45,0,0,NA,NA,NA,NA,NA
45,0,3.2,NA,NA,NA,NA,NA
45,0,6.4,NA,NA,NA,NA,NA
45,0,9.6,NA,NA,NA,NA,NA
45,0,12.8,NA,NA,NA,NA,NA
45,0,16,NA,NA,NA,NA,NA
45,0,19.2,NA,NA,NA,NA,NA
45,0,22.4,NA,NA,NA,NA,NA
45,0,25.6,NA,NA,NA,NA,NA
45,0,28.8,NA,NA,NA,NA,NA
50,0,0,NA,NA,NA,NA,NA
50,0,3.2,NA,NA,NA,NA,NA
50,0,6.4,NA,NA,NA,NA,NA
50,0,9.6,NA,NA,NA,NA,NA
50,0,12.8,NA,NA,NA,NA,NA
50,0,16,NA,NA,NA,NA,NA
50,0,19.2,NA,NA,NA,NA,NA
50,0,22.4,NA,NA,NA,NA,NA
50,0,25.6,NA,NA,NA,NA,NA
50,0,28.8,NA,NA,NA,NA,NA
55,0,0,NA,NA,NA,NA,NA
55,0,3.2,NA,NA,NA,NA,NA
55,0,6.4,NA,NA,NA,NA,NA
55,0,9.6,NA,NA,NA,NA,NA
55,0,12.8,NA,NA,NA,NA,NA
55,0,16,NA,NA,NA,NA,NA
55,0,19.2,NA,NA,NA,NA,NA
55,0,22.4,NA,NA,NA,NA,NA
55,0,25.6,NA,NA,NA,NA,NA
55,0,28.8,NA,NA,NA,NA,NA
58,0,0,NA,NA,NA,NA,NA
58,0,3.2,NA,NA,NA,NA,NA
58,0,6.4,NA,NA,NA,NA,NA
58,0,9.6,NA,NA,NA,NA,NA
58,0,12.8,NA,NA,NA,NA,NA
58,0,16,NA,NA,NA,NA,NA
58,0,19.2,NA,NA,NA,NA,NA
58,0,22.4,NA,NA,NA,NA,NA
58,0,25.6,NA,NA,NA,NA,NA
58,0,28.8,NA,NA,NA,NA,NA
0,5,0,NA,NA,NA,NA,NA
0,5,3.2,NA,NA,NA,NA,NA
0,5,6.4,NA,NA,NA,NA,NA
0,5,9.6,NA,NA,NA,NA,NA
